room_name,room_type,home_classroom
333,ห้องปฏิบัติการ,-
334,ห้องปฏิบัติการ,-
223,ห้องประจำชั้นชั้น,ม.1/1
224,ห้องประจำชั้นชั้น,ม.1/2
435,ห้องประจำชั้นชั้น,ม.1/3
131,ห้องปฏิบัติการ,-
133,ห้องประจำชั้นชั้น,ม.1/4
441,ห้องประจำชั้นชั้น,ม.1/5
442,ห้องประจำชั้นชั้น,ม.1/6
443,ห้องประจำชั้นชั้น,ม.1/7
444,ห้องประจำชั้นชั้น,ม.1/8
445,ห้องประจำชั้นชั้น,ม.1/9
446,ห้องประจำชั้นชั้น,ม.1/10
447,ห้องประจำชั้นชั้น,ม.1/11
448,ห้องปฏิบัติการ,-
432,ห้องประจำชั้นชั้น,ม.1/12
433,ห้องประจำชั้นชั้น,ม.2/1
434,ห้องประจำชั้นชั้น,ม.2/2
134,ห้องประจำชั้นชั้น,ม.2/3
135,ห้องปฏิบัติการ,-
436,ห้องปฏิบัติการ,-
321,ห้องปฏิบัติการ,-
431,ห้องประจำชั้นชั้น,ม.2/4
326,ห้องปฏิบัติการ,-
225,ห้องประจำชั้นชั้น,ม.2/5
421,ห้องปฏิบัติการ,-
136,ภาษาไทย,-
137,ห้องประจำชั้น,ม.2/6
214,ห้องประจำชั้น,ม.2/7
215,ห้องประจำชั้น,ม.2/8
216,ห้องประจำชั้น,ม.2/9
222,ห้องประจำชั้น,ม.2/10
232,ห้องประจำชั้น,ม.2/11
233,ห้องประจำชั้น,ม.2/12
234,ห้องประจำชั้น,ม.3/1
235,ห้องประจำชั้น,ม.3/2
241,ห้องประจำชั้น,ม.3/3
242,ห้องประจำชั้น,ม.3/4
243,ห้องประจำชั้น,ม.3/5
244,ห้องประจำชั้น,ม.3/6
245,ห้องประจำชั้น,ม.3/7
246,ห้องประจำชั้น,ม.3/8
425,ห้องประจำชั้น,ม.3/9
426,ห้องประจำชั้น,ม.3/10
428,ห้องประจำชั้น,ม.3/11
427,ห้องประจำชั้น,ม.3/12
ฝ301,ห้องปฏิบัติการ,-
ฝ101,ห้องปฏิบัติการ,-
สน1,ห้องปฏิบัติการ,-
สน2,ห้องปฏิบัติการ,-
สน3,ห้องปฏิบัติการ,-
สน4,ห้องปฏิบัติการ,-
สน5,ห้องปฏิบัติการ,-
สน6,ห้องปฏิบัติการ,-
สน7,ห้องปฏิบัติการ,-
สน8,ห้องปฏิบัติการ,-
115,ห้องประจำชั้น,ม.6/3
123,ห้องประจำชั้น,ม.6/4
125,ห้องประจำชั้น,ม.6/5
128,ห้องประจำชั้น,ม.6/6
138,ห้องประจำชั้น,ม.6/7
211,ห้องประจำชั้น,ม.6/8
221,ห้องประจำชั้น,ม.4/1
316,ห้องปฏิบัติการ,-
341,ห้องประจำชั้น,ม.4/2
342,ห้องประจำชั้น,ม.4/3
343,ห้องปฏิบัติการ,-
344,ห้องปฏิบัติการ,-
346,ห้องประจำชั้น,ม.4/4
423,ห้องปฏิบัติการ,-
112,ห้องปฏิบัติการ,-
323,ห้องปฏิบัติการ,-
ฝ102,ห้องปฏิบัติการ,-
336,ห้องปฏิบัติการ,-
ฝ103,ห้องปฏิบัติการ,-
มณีฯ,ห้องปฏิบัติการ,-
ฝ102-1,ห้องปฏิบัติการ,-
331,ห้องปฏิบัติการ,-
532,ห้องประจำชั้น,ม.4/5
522,ห้องประจำชั้น,ม.4/6
521,ห้องประจำชั้น,ม.4/7
531,ห้องประจำชั้น,ม.4/8
533,ห้องประจำชั้น,ม.5/1
534,ห้องประจำชั้น,ม.5/2
535,ห้องประจำชั้น,ม.5/3
553,ห้องประจำชั้น,ม.5/4
542,ห้องประจำชั้น,ม.5/5
543,ห้องประจำชั้น,ม.5/6
544,ห้องประจำชั้น,ม.5/7
545,ห้องประจำชั้น,ม.5/8
554,ห้องประจำชั้น,ม.6/1
555,ห้องประจำชั้น,ม.6/2
