subject_code,subject_name
TH21101,Thai Language
ท21101,ภาษาไทยพื้นฐาน
ค21101,คณิตศาสตร์พื้นฐาน
ว21101,วิทยาศาสตร์พื้นฐาน
ส21101,สังคมศึกษา
ส21102,ประวัติศาสตร์
พ21101,สุขศึกษา
พ21103,สุขศึกษา
ศ21102,ดนตรีสากล
ศ21104,นาฏศิลป์
ง21102,เทคโนโลยีสารสนเทศฯ
อ21101,ภาษาอังกฤษพื้นฐาน
ค21201,คณิตศาสตร์เพิ่มเติม
ว21213,ของเล่นวิทยาศาสตร์
อ21203,ภาษาอังกฤษอ่าน-เขียน
จ21203,ภาษาจีน
ส21231,หน้าที่พลเมืองฯ1
MA21101*,Basic Mathematics
SC21101*,Basic Science
SO21101,Social Studies
SO21102,Thai History
HE21101,Health Education
HE21103,Gymnastics
AR21102,International Music
AR21104,Thai  Traditional
อ21101*,Basic English
MA21201,Intensive Mathematic
SC21213,Scientific Toys
อ21205*,Artsy English
อ21207,Introduction Phoneti
CH21204*,Chinese
SO21231,Civil Studies1
ท21205,เสริมทักษะภาษาไทย1
ส21202,ท้องถิ่นของเรา
ท22101,ภาษาไทยพื้นฐาน
ค22101,คณิตศาสตร์พื้นฐาน
ว22101,วิทยาศาสตร์พื้นฐาน
ส22101,สังคมศึกษา
ส22102,ประวัติศาสตร์
พ22101,สุขศึกษา
พ22102,กรีฑา
ศ22101,ทัศนศิลป์
ศ22102,ดนตรีสากล
ง22102,เทศโนโลยีสารสนเทศฯ
อ22101,ภาษาอังกฤษพื้นฐาน
ค22203,คณิตศาสตร์เพิ่มเติม
ว22212,โครงงานวิทย์ 1 MEP
ค20201,คณิตศาสตร์เพิ่มพูน
จ22203,ภาษาจีน
ส22233,หน้าที่พลเมือง3
I20201,การศึกษาค้นคว้าฯ
ท22205,หลักภาษาไทย
ง20206,งานบาติก
ง20207,งานเขียนแบบ
ท23101,ภาษาไทยพื้นฐาน
ค23101,คณิตศาสตร์พื้นฐาน
ว23101,วิทยาศาสตร์พื้นฐาน
ส23101,สังคมศึกษา
ส23102,ประวัติศาสตร์
พ23101,สุขศึกษา
พ23102,บาสเกตบอล
ศ23101,ทัศนศิลป์
ศ23102,ดนตรีสากล
ง23101,การงานอาชีพฯ
ง23102,เทคโนโลยีสารสนเทศ
อ23101,ภาษาอังกฤษพื้นฐาน
ค23201,คณิตศาสตร์เพิ่มเติม
อ23203,อังกฤษเพื่อการนำเสนอ
ว23213,เชื้อเพลิงฯ
จ23205,ภาษาจีน
ส23235,หน้าที่พลเมือง5
อ23201,ภาษาอังกฤษอ่าน-เขียน
ง20212,โครงงานอาชีพ
ง20204,งานประดิษฐ์
ท31101,ภาษาไทยพื้นฐาน
ค31101,คณิตศาสตร์พื้นฐาน
ส31101,สังคมศึกษา
พ31101,สุขศึกษา
ศ30101,ทัศนศิลป์
ง31101,เทคโนโลยีสารสนเทศฯ
อ31101,ภาษาอังกฤษพื้นฐาน
ค31201,คณิตศาสตรเพิ่มเติม
ค30291,คณิตศาสตร์ พสวท
ว30201,ฟิสิกส์
ว30221,เคมี
ว30241,ชีววิทยา
ว30281,เทคนิคปฏิบัติการ1
ว30282,เทคนิคปฏิบัติการ2
ว30285,ระเบียบวิธีวิจัย
พ31201,แฮนด์บอล
อ31201,ภาษาอังกฤษอ่าน-เขียน
จ31201,ภาษาจีน
อ31203,อังกฤษเทคโนโลยี
ส31203,การปกครองของไทย
อ31202,ภาษาอังกฤษรอบรู้
อ31207,ภาษาอังกฤษเสริม
ฝ31201,ภาษาฝรั่งเศส
ท31202,การพูด
ง30208,ห้องสมุดฯ
ง30201,การจัดสวน
ง30202,งานอาหารไทย
ท32101,ภาษาไทยพื้นฐาน
ค32101,คณิตศาสตร์พื้นฐาน
ส32101,สังคมศึกษา
ส32102,ประวัติศาสตร์
พ32101,สุขศึกษา
ศ30104,นาฏศิลป์
ง32101,เทคโนโลยีสารสนเทศฯ
อ32101,ภาษาอักกฤษพื้นฐาน
ค32201,คณิตศาสตร์เพิ่มเติม
ว30203,ฟิสิกส์
ว30223,เคมี
ว30243,ชีววิทยา
ว30291,โครงงานวิทยาศาสตร์2
ค30299,โครงงานคณิตศาสตร์2
ง30299,โครงงานคอมพิวเตอร์2
อ32201,ภาษาอังกฤษอ่าน-เขียน
อ32203,อังกฤษเทคโนโลยี
จ32201,ภาษาจีน
พ32201,วอลเลย์บอล
ส30232,หน้าที่พลเมือง2
I30202,การสื่อสารฯ
อ32202,ภาษาอังกฤษรอบรู้
อ32207,ภาษาอังกฤษเสริม
ฝ32201,ภาษาฝรั่งเศส
ท32202,ประวัติวรรณคดี1
ง30203,การปลูกไม้ดอกฯ
ง30204,งานปักฯ
ท33101,ภาษาไทย
ว30161,โลกดาราศาสตร์ฯ
ส33101,สังคมศึกษา
ส33102,ประวัติศาสตร์
พ33101,สุขศึกษา
ง33101,การงานอาชีพฯ
อ33101,ภาษาอังกฤษพื้นฐาน
ค33201,คณิตศาสตร์เพิ่มเติม
ว30205,ฟิสิกส์
ว30225,เคมี
ว30245,ชีววิทยา
พ33202,ลีลาส
อ33201,ภาษาอังกฤษอ่าน-เขียน
อ33203,อังกฤษเทคโนโลยี
จ33201,ภาษาจีน
ส30234,หน้าที่พลเมือง4
AP,AP Program
ท33201,ภาษากับวัฒนธรรม
อ33202,ภาษาอังกฤษรอบรู้
อ33207,ภาษาอังกฤษเสริม
ฝ33201,ภาษาฝรั่งเศส
ส 33202,กฏหมายเบื้องต้น
ง 30211,การบริการฯ
